recipe_title,recipe_ingredients,ingredient1,quantity1,unit1,ingredient2,quantity2,unit2,ingredient3,quantity3,unit3,ingredient4,quantity4,unit4,ingredient5,quantity5,unit5,ingredient6,quantity6,unit6,ingredient7,quantity7,unit7,ingredient8,quantity8,unit8,ingredient9,quantity9,unit9,ingredient10,quantity10,unit10,ingredient11,quantity11,unit11,ingredient12,quantity12,unit12,ingredient13,quantity13,unit13,ingredient14,quantity14,unit14,ingredient15,quantity15,unit15,ingredient16,quantity16,unit16,ingredient17,quantity17,unit17,ingredient18,quantity18,unit18,ingredient19,quantity19,unit19,ingredient20,quantity20,unit20
갈릭마요새우 간단히 만들어 먹는 술안주!,"{'재료': ['새우1공기'], '양념': ['다진마늘1큰술', '마요네즈4큰술', '설탕1큰술', '버터1/2큰술', '후추약간', '소금약간', '파슬리가루약간']}",새우,1,공기,다진마늘,1,큰술,마요네즈,4,큰술,설탕,1,큰술,버터,1/2,큰술,후추약간,,,소금약간,,,파슬리가루약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"일본식 우엉,당근 볶음 '킨피라'","{'재료': ['우엉150g', '당근100g'], '양념': ['오일1T', '참기름1T', '물4T', '간장1.5T', '미림1.5T', '설탕2t']}",우엉,150,g,당근,100,g,오일,1,T,참기름,1,T,물,4,T,간장,1.5,T,미림,1.5,T,설탕,2,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영양 많고 맛있는 여름반찬 만들기-가지볶음,"{'재료': ['가지3개', '양파1/2개', '대파1대', '청양고추2개', '홍고추2개', '마늘10쪽', '올리브유5밥숟가락', '굵은소금0.5밥숟가락', '물1컵'], '양념': ['고춧가루2밥숟가락', '진간장2밥숟가락', '굴소스2밥숟가락', '설탕0.5밥숟가락', '참기름1밥숟가락', '통깨1밥숟가락']}",가지,3,개,양파,1/2,개,대파,1,대,청양고추,2,개,홍고추,2,개,마늘,10,쪽,올리브유,5,밥숟가락,굵은소금,0.5,밥숟가락,물,1,컵,고춧가루,2,밥숟가락,진간장,2,밥숟가락,굴소스,2,밥숟가락,설탕,0.5,밥숟가락,참기름,1,밥숟가락,통깨,1,밥숟가락,,,,,,,,,,,,,,,
자취생 간단요리<메추리알볶음>,"{'재료': ['메추리알1봉지', '비엔나소세지2봉지', '청양고추1~3개'], '양념': ['고추장1~1.5T', '케첩4~5T', '진간장1~1.5T', '설탕2T', '물5~7T']}",메추리알,1,봉지,비엔나소세지,2,봉지,청양고추,1~3,개,고추장,1~1.5,T,케첩,4~5,T,진간장,1~1.5,T,설탕,2,T,물,5~7,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소고기두부볶음 - 아이들 반찬/이유식 반찬으로도 최고죠~옛생각이 절로...,"{'재료': ['두부1/2모', '다진소고기140그람'], '다진소고기양념': ['다진소고기140그람', '맛술1/2큰술', '간장1큰술', '설탕1/3큰술', '참기름1큰술', '다진마늘1/2큰술', '다진파1큰술', '후추톡톡톡'], '두부부침': ['들기름', '올리브유']}",두부,1/2,모,다진소고기,140,그람,다진소고기,140,그람,맛술,1/2,큰술,간장,1,큰술,설탕,1/3,큰술,참기름,1,큰술,다진마늘,1/2,큰술,다진파,1,큰술,후추톡톡톡,,,들기름,,,올리브유,,,,,,,,,,,,,,,,,,,,,,,,,,
달걀(계란) 숙주볶음 : 초간단 반찬 겸 술안주,"{'재료': ['달걀3개', '숙주250g(1봉지)', '후추톡톡', '굴소스2T', '식용유4~5T', '참기름조금', '다진쪽파1/2T(생략가능)']}",달걀,3,개,숙주,250,g,후추톡톡,,,굴소스,2,T,식용유,4~5,T,참기름조금,,,다진쪽파,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#간단한반찬, 고소함 터지는 들깨두부볶음","{'재료': ['두부180g', '들기름2T'], '양념': ['다진마늘1t', '간장1T', '매실청2T', '들깨가루1T']}",두부,180,g,들기름,2,T,다진마늘,1,t,간장,1,T,매실청,2,T,들깨가루,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간단 반찬-아이 반찬으로 좋은 감자볶음,"{'재료': ['감자3개', '양파1/2개'], '양념': ['굴소스1스푼', '맛간장(진간장)3스푼', '설탕1스푼', '올리고당1스푼', '카놀라유1-2스푼', '다진마늘1/2스푼', '통깨조금']}",감자,3,개,양파,1/2,개,굴소스,1,스푼,맛간장(진간장),3,스푼,설탕,1,스푼,올리고당,1,스푼,카놀라유,1-2,스푼,다진마늘,1/2,스푼,통깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하찮은 냉동미니돈까스에서 고오급 난자완스 만들기,"{'재료': ['미니돈까스23개'], '양념장': ['고추장1큰술', '케첩1큰술', '간장1큰술', '올리고당2큰술', '다진마늘1큰술', '물2큰술', '참기름1/2큰술']}",미니돈까스,23,개,고추장,1,큰술,케첩,1,큰술,간장,1,큰술,올리고당,2,큰술,다진마늘,1,큰술,물,2,큰술,참기름,1/2,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두부고기 맛이 나는 두부볶음~~,"{'재료': ['단단한두부1모'], '양념': ['다진마늘1Ts', '물3Ts', '고추장(평평하게깎아서계량)1Ts', '간장1Ts', '굴소스1/2Ts', '올리고당2Ts', '참기름1Ts', '깨1Ts']}",단단한두부,1,모,다진마늘,1,Ts,물,3,Ts,고추장(평평하게깎아서계량),1,Ts,간장,1,Ts,굴소스,1/2,Ts,올리고당,2,Ts,참기름,1,Ts,깨,1,Ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"브로콜리들깨볶음, 기분 좋은 고소한 맛","{'재료': ['브로콜리1개', '양파1/2개', '들깨가루1컵', '다시마물1컵', '들기름1T', '다진마늘1T', '액젓1/2T']}",브로콜리,1,개,양파,1/2,개,들깨가루,1,컵,다시마물,1,컵,들기름,1,T,다진마늘,1,T,액젓,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
느타리버섯 볶음! 매콤한 버섯요리.,"{'재료': ['느타리버섯2팩400g', '쪽파4~5개', '청양고추3개'], '양념': ['다진마늘1T', '물엿3T', '진간장2T', '고추장1T', '설탕1/2T', '고추가루1T', '참기름1T', '깨소금약간']}",느타리버섯,2,팩,쪽파,4~5,개,청양고추,3,개,다진마늘,1,T,물엿,3,T,진간장,2,T,고추장,1,T,설탕,1/2,T,고추가루,1,T,참기름,1,T,깨소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햄 숙주볶음 : 초간단 밥반찬&술안주,"{'재료(1~2인분)': ['숙주1봉지(250g)', '채썬햄1/2~1주먹', '다진파1주먹', '청양고추1개', '굴소스1/2~1T', '후추조금', '식용유1T', '참기름1t', '깨조금']}",숙주,1,봉지,채썬햄,1/2~1,주먹,다진파,1,주먹,청양고추,1,개,굴소스,1/2~1,T,후추조금,,,식용유,1,T,참기름,1,t,깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"볶음밥, 주먹밥 어디든 잘 어울리는 '만능 소고기볶음'","{'재료': ['소고기200g', '다진마늘0.5t', '진간장3t', '맛술3t', '설탕1.5t', '후추톡톡톡', '참기름1t', '통깨툭툭']}",소고기,200,g,다진마늘,0.5,t,진간장,3,t,맛술,3,t,설탕,1.5,t,후추톡톡톡,,,참기름,1,t,통깨툭툭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"진미채 볶음, 짭쪼름 달달 간장소스, 초간단 밑반찬","{'재료': ['진미채150g', '마요네즈1T'], '양념': ['간장1.5T', '굴소스1T', '맛술2T', '다진마늘0.5T', '설탕0.5T', '올리고당1T', '깨0.3T']}",진미채,150,g,마요네즈,1,T,간장,1.5,T,굴소스,1,T,맛술,2,T,다진마늘,0.5,T,설탕,0.5,T,올리고당,1,T,깨,0.3,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아삭한 식감이 매력적인 단짠 반찬 마늘종 볶음,"{'재료': ['마늘종130g', '대파40g', '양파40g', '다진마늘1/2T', '식용유2T', '통깨적당량', '참기름1/2T'], '양념': ['진간장2T', '올리고당1T']}",마늘종,130,g,대파,40,g,양파,40,g,다진마늘,1/2,T,식용유,2,T,통깨적당량,,,참기름,1/2,T,진간장,2,T,올리고당,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매콤 새송이버섯볶음,"{'재료': ['새송이버섯2개', '오일약간'], '양념': ['물5스푼', '고추장1스푼', '고춧가루1티스푼', '참기름2티스푼', '간장2티스푼', '설탕2티스푼', '다진마늘1티스푼']}",새송이버섯,2,개,오일약간,,,물,5,스푼,고추장,1,스푼,고춧가루,1,티스푼,참기름,2,티스푼,간장,2,티스푼,설탕,2,티스푼,다진마늘,1,티스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호박참치볶음(담백하니 아기도 좋아해요~),"{'재료': ['애호박1대접', '양파1/4개', '마늘1숟가락', '참치1캔(작은거)'], '양념': ['굴소스1숟가락', '소금조금']}",애호박,1,대접,양파,1/4,개,마늘,1,숟가락,참치,1,캔,굴소스,1,숟가락,소금조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시금치요리 시금치베이컨볶음 엄지척,"{'재료': ['시금치', '베이컨', '다진마늘', '통깨']}",시금치,,,베이컨,,,다진마늘,,,통깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아삭아삭 달큰한 양배추 베이컨볶음~~,"{'재료': ['베이컨7줄', '양배추1/8']}",베이컨,7,줄,양배추,1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입맛 돋는 양파볶음 만드는법,"{'재료': ['양파2개', '진간장3스푼', '고춧가루1스푼', '다진마늘1스푼', '설탕1스푼', '참기름1스푼', '통깨팍팍']}",양파,2,개,진간장,3,스푼,고춧가루,1,스푼,다진마늘,1,스푼,설탕,1,스푼,참기름,1,스푼,통깨팍팍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참치 맛 가루 (후리 가케),"{'참치 맛 가루 재료': ['참치캔150g', '간장1큰술', '맛술1큰술', '설탕1티스푼']}",참치캔,150,g,간장,1,큰술,맛술,1,큰술,설탕,1,티스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
깐풍기맛 나는 깐풍두부!,"{'주재료': ['두부1모', '대파송송송', '청양고추2개'], '양념재료': ['물2T', '굴소스2T', '식초2T', '고춧가루1T', '다진마늘1T', '설탕1T', '진간장1T']}",두부,1,모,대파송송송,,,청양고추,2,개,물,2,T,굴소스,2,T,식초,2,T,고춧가루,1,T,다진마늘,1,T,설탕,1,T,진간장,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아삭아삭 식감이 살아있는 소고기오이볶음(아이도 먹기 좋은 밑반찬),"{'재료': ['오이1개', '소고기다짐육100g', '다진파1큰술', '다진마늘1/2큰술'], '고기 양념장': ['간장1큰술', '설탕1/2큰술', '생강술1큰술', '배즙1큰술', '후춧가루적당량']}",오이,1,개,소고기다짐육,100,g,다진파,1,큰술,다진마늘,1/2,큰술,간장,1,큰술,설탕,1/2,큰술,생강술,1,큰술,배즙,1,큰술,후춧가루적당량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쫄깃한 두부강정 만들기,"{'재료': ['두부1모', '전분가루적당량', '고추장1+1/2큰술', '케찹2큰술', '다진마늘1/2큰술', '고추가루1/2큰술', '설탕1큰술', '올리고당1큰술', '깨소금약간']}",두부,1,모,전분가루적당량,,,고추장,1+1/2,큰술,케찹,2,큰술,다진마늘,1/2,큰술,고추가루,1/2,큰술,설탕,1,큰술,올리고당,1,큰술,깨소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
느타리버섯두루치기,"{'재료': ['느타리버섯1팩', '애호박1/3개', '양파1/2개', '대파1/2대', '청양고추1개', '고춧가루2T', '고추장1T', '진간장3T', '다진마늘1T', '설탕1T', '후춧가루톡톡', '참기름1T', '통깨약간', '식용유3T']}",느타리버섯,1,팩,애호박,1/3,개,양파,1/2,개,대파,1/2,대,청양고추,1,개,고춧가루,2,T,고추장,1,T,진간장,3,T,다진마늘,1,T,설탕,1,T,후춧가루톡톡,,,참기름,1,T,통깨약간,,,식용유,3,T,,,,,,,,,,,,,,,,,,
무볶음 만들기,"{'재료': ['무1/2쪽', '대파약간'], '양념': ['들기름3스푼', '맛소금1t', '마늘1스푼', '깨1스푼']}",무,1/2,쪽,대파약간,,,들기름,3,스푼,맛소금,1,t,마늘,1,스푼,깨,1,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
돼지고기 다짐 육 간장 볶음~,"{'재료': ['돼지고기다짐육300g', '카놀라유약간'], '양념': ['다진마늘1/2스푼', '간장1큰술', '굴소스1큰술', '후추톡톡', '올리고당1큰술', '통깨약간']}",돼지고기다짐육,300,g,카놀라유약간,,,다진마늘,1/2,스푼,간장,1,큰술,굴소스,1,큰술,후추톡톡,,,올리고당,1,큰술,통깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호박베이컨볶음,"{'재료': ['애호박1개', '베이컨4줄', '마늘4톨']}",애호박,1,개,베이컨,4,줄,마늘,4,톨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"쥐포볶음 만드는법 간단한 밑반찬, 술안주","{'재료': ['쥐포200g'], '쥐포양념': ['간장3수저', '올리고당2수저', '맛술2수저', '다진마늘1/2수저', '마요네즈1수저', '후춧가루약간', '통깨약간', '물5수저']}",쥐포,200,g,간장,3,수저,올리고당,2,수저,맛술,2,수저,다진마늘,1/2,수저,마요네즈,1,수저,후춧가루약간,,,통깨약간,,,물,5,수저,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고추장 건새우볶음 : 밑반찬 하나로 공기밥 뚝딱,"{'고추장건새우볶음 양념': ['고춧가루1스푼', '다진마늘1스푼', '참기름1스푼', '고추장1스푼', '매실청1스푼', '물엿1스푼', '식용유1스푼', '맛술1스푼'], '그외': ['건새우1접시', '마요네즈1스푼(선택사항)']}",고춧가루,1,스푼,다진마늘,1,스푼,참기름,1,스푼,고추장,1,스푼,매실청,1,스푼,물엿,1,스푼,식용유,1,스푼,맛술,1,스푼,건새우,1,접시,마요네즈,1,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"맛남의 광장, 꽈리고추 닭볶음 레시피","{'재료': ['닭고기정육200g', '꽈리고추30개정도', '통마늘20개', '붉은고추1개', '대파1대', '간장3숟가락', '설탕2숟가락', '마늘2숟가락', '식용유', '후추', '물', '깨소금약간']}",닭고기정육,200,g,꽈리고추,30,개정도,통마늘,20,개,붉은고추,1,개,대파,1,대,간장,3,숟가락,설탕,2,숟가락,마늘,2,숟가락,식용유,,,후추,,,물,,,깨소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,
초스피드!!!일본 이자카야 맛!!가리바타 버섯!!(ガリバタきのこ),"{'재료': ['새송이버섯2~4개'], '양념': ['버터10g정도', '간장1큰술', '마늘2~4톨']}",새송이버섯,2~4,개,버터,10,g정도,간장,1,큰술,마늘,2~4,톨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[베이컨요리]간단한 반찬 만들기 베이컨숙주볶음,"{'재료': ['숙주270g', '베이컨220g', '통마늘6개', '청경채3송이', '쪽파1개'], '양념재료': ['참기름1스푼', '후추조금', '굴소스2스푼']}",숙주,270,g,베이컨,220,g,통마늘,6,개,청경채,3,송이,쪽파,1,개,참기름,1,스푼,후추조금,,,굴소스,2,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진정한 밥도둑 소고기 볶음 고추장,"{'재료': ['갈은소고기480g', '양파2개'], '양념': ['고추장9T', '다진마늘2T', '후추1T', '간장2T', '설탕3.5T', '참기름1T', '물엿(생략가능)1T']}",갈은소고기,480,g,양파,2,개,고추장,9,T,다진마늘,2,T,후추,1,T,간장,2,T,설탕,3.5,T,참기름,1,T,물엿(생략가능),1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브로콜리 양송이 볶음,"{'재료': ['브로콜리작은거1개', '양송이버섯7~8개', '맛살2줄', '마늘6~7알', '굴소스1.5수저', '올리고당1.5수저', '후추약간', '참기름1수저', '통깨약간', '식용유'], '브로콜리 세척용': ['식초2수저'], '브로콜리 삶을때 ': ['소금1/3수저']}",브로콜리작은거,1,개,양송이버섯,7~8,개,맛살,2,줄,마늘,6~7,알,굴소스,1.5,수저,올리고당,1.5,수저,후추약간,,,참기름,1,수저,통깨약간,,,식용유,,,식초,2,수저,소금,1/3,수저,,,,,,,,,,,,,,,,,,,,,,,,
맵지 않고 부드러운 아이들 반찬 '간장진미채볶음'초간단 레시피,"{'재료': ['진미채1줌', '마요네즈1T'], '양념': ['간장3T', '설탕2T', '올리고당1T', '다진마늘1T', '참기름1T', '통깨1T']}",진미채,1,줌,마요네즈,1,T,간장,3,T,설탕,2,T,올리고당,1,T,다진마늘,1,T,참기름,1,T,통깨,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【초간단】국민반찬 진미채 볶음 만들기~,"{'재료': ['진미채180g'], '양념': ['마요네즈2T', '고추장2T', '고춧가루1T', '간장1.5T', '다진마늘1/2T', '참기름1T', '설탕1T', '올리고당1.5T', '깨소금0.5T']}",진미채,180,g,마요네즈,2,T,고추장,2,T,고춧가루,1,T,간장,1.5,T,다진마늘,1/2,T,참기름,1,T,설탕,1,T,올리고당,1.5,T,깨소금,0.5,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밥에 넣고 비벼먹어도 맛있는 소고기오이볶음,"{'재료': ['오이1개', '소고기(갈은것)100g', '간장1작은술', '통깨1큰술', '소금', '오일', '굵은소금'], '오이절임 재료': ['소금1/2작은술'], '소고기 양념': ['간장1작은술', '설탕1작은술', '청주1작은술', '다진마늘1작은술', '참기름1작은술', '후춧가루']}",오이,1,개,소고기(갈은것),100,g,간장,1,작은술,통깨,1,큰술,소금,,,오일,,,굵은소금,,,소금,1/2,작은술,간장,1,작은술,설탕,1,작은술,청주,1,작은술,다진마늘,1,작은술,참기름,1,작은술,후춧가루,,,,,,,,,,,,,,,,,,,,
도시락반찬 구운마늘멸치볶음,"{'재료': ['세멸치300g', '대파1/3컵', '마늘10톨'], '양념': ['간장1.5T', '매실액1T', '술1T', '생강청1/3T', '올리고당1T', '참기름1/3T']}",세멸치,300,g,대파,1/3,컵,마늘,10,톨,간장,1.5,T,매실액,1,T,술,1,T,생강청,1/3,T,올리고당,1,T,참기름,1/3,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"매콤 호박볶음, 비빔밥과 국수에 넣어먹으면 좋은 호박볶음","{'재료': ['쥬키니호박2/3개', '양파1/2개', '대파1/2뿌리'], '양념': ['식용유1T', '들기름1T', '간장2T', '굴소스1T', '고추가루1.5T', '설탕0.5T', '다진마늘0.5T', '들기름0.5T', '소금약간']}",쥬키니호박,2/3,개,양파,1/2,개,대파,1/2,뿌리,식용유,1,T,들기름,1,T,간장,2,T,굴소스,1,T,고추가루,1.5,T,설탕,0.5,T,다진마늘,0.5,T,들기름,0.5,T,소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,
들깨버섯볶음,"{'재료': ['느타리버섯2팩', '다진마늘0.5TS', '간장1-1.5TS', '쪽파1대', '들깻가루2TS', '들기름2TS']}",느타리버섯,2,팩,다진마늘,0.5,TS,간장,1-1.5,TS,쪽파,1,대,들깻가루,2,TS,들기름,2,TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"간단한 밑반찬 만들기, 닭가슴살 마늘쫑 볶음","{'재료': ['닭가슴살150g', '마늘쫑200g', '식용유1T', '간장1T', '굴소스2T', '다진마늘1/2T', '후추1t', '참기름1T', '깨1t']}",닭가슴살,150,g,마늘쫑,200,g,식용유,1,T,간장,1,T,굴소스,2,T,다진마늘,1/2,T,후추,1,t,참기름,1,T,깨,1,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밑반찬 꽈리고추닭가슴살볶음,"{'재료': ['꽈리고추15개정도', '닭가슴살1조각', '양파1개', '마늘5쪽', '마른청양고추3개', '오일1T', '굴소스1T', '올리고당1T'], '닭가슴살양념': ['진간장1t', '맛술1t', '참기름조금', '설탕1꼬집', '다진마늘조금', '후추톡톡톡']}",꽈리고추,15,개정도,닭가슴살,1,조각,양파,1,개,마늘,5,쪽,마른청양고추,3,개,오일,1,T,굴소스,1,T,올리고당,1,T,진간장,1,t,맛술,1,t,참기름조금,,,설탕,1,꼬집,다진마늘조금,,,후추톡톡톡,,,,,,,,,,,,,,,,,,,,
간장어묵볶음&고추장어묵볶음,"{'재료': ['어묵40알', '양파1/2개', '파1/2뿌리'], '양념': ['간장2큰술', '고추장1수저', '설탕1수저씩', '올리고당1티스푼', '식용유1수저씩', '깨소금약간']}",어묵,40,알,양파,1/2,개,파,1/2,뿌리,간장,2,큰술,고추장,1,수저,설탕,1,수저씩,올리고당,1,티스푼,식용유,1,수저씩,깨소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닭가슴살양배추볶음 든든한 반찬,"{'재료': ['닭가슴살200g', '양배추350g', '청양고추2개', '홍고추1개', '간장1큰술', '액젓1큰술', '올리고당1큰술', '청주1큰술', '다진마늘1큰술', '파약간']}",닭가슴살,200,g,양배추,350,g,청양고추,2,개,홍고추,1,개,간장,1,큰술,액젓,1,큰술,올리고당,1,큰술,청주,1,큰술,다진마늘,1,큰술,파약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간단 반찬~햄버섯야채볶음~,"{'재료': ['맛타리버섯1팩', '불고기맛햄1개(160g)', '양파1/2개', '청피망1/3개'], '양념': ['굴소스1.5스푼', '카놀라유2스푼', '다진마늘1/2스푼', '통깨적당량', '후추적당량']}",맛타리버섯,1,팩,불고기맛햄,1,개,양파,1/2,개,청피망,1/3,개,굴소스,1.5,스푼,카놀라유,2,스푼,다진마늘,1/2,스푼,통깨적당량,,,후추적당량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다이어트 부담없는 건강반찬 양배추볶음 레시피,"{'재료': ['양배추220g'], '양념장': ['진간장2T', '굴소스2T', '맛술2T', '물2T', '깨소금1/2T', '참기름1/2T']}",양배추,220,g,진간장,2,T,굴소스,2,T,맛술,2,T,물,2,T,깨소금,1/2,T,참기름,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
